epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,817.323,1.08918,1.41612,2.00731,0.8905,0.96841,0.9335,0.97167,0.77507,0.91492,0.87111,0.88669,0.42938,0.79434,1.14412,0.95194,0.84492,0.00332572,0.00332572,0.00332572
2,1618.9,0.93869,1.05534,0.93414,0.85967,0.96848,0.94234,0.97948,0.77265,0.92557,0.89192,0.91067,0.4727,0.78959,1.12244,0.8308,0.84839,0.00663708,0.00663708,0.00663708
3,2416.9,0.96892,1.03879,0.81529,0.86331,0.96463,0.9457,0.97932,0.78899,0.91737,0.89068,0.90134,0.45352,0.71765,0.98938,0.70325,0.83098,0.00992644,0.00992644,0.00992644
4,3183.45,0.9045,0.99242,0.68212,0.8524,0.97634,0.95816,0.98423,0.81223,0.93595,0.90095,0.92017,0.47106,0.70331,1.04119,0.5404,0.82546,0.009901,0.009901,0.009901
5,3948.15,0.83419,0.97287,0.585,0.84074,0.98344,0.96506,0.9867,0.84465,0.95789,0.93227,0.95633,0.51791,0.61704,0.91465,0.47466,0.81611,0.009868,0.009868,0.009868
6,4714.13,0.78506,0.92405,0.53196,0.83364,0.98087,0.96946,0.98793,0.84062,0.95676,0.93134,0.94774,0.54111,0.61753,0.87018,0.44939,0.81653,0.009835,0.009835,0.009835
7,5478.68,0.76086,0.88847,0.50394,0.83137,0.98664,0.97178,0.98947,0.86421,0.96629,0.93324,0.95575,0.51874,0.56287,0.8557,0.40681,0.81157,0.009802,0.009802,0.009802
8,6243.95,0.7278,0.86792,0.47574,0.82611,0.97992,0.95149,0.98524,0.86337,0.95099,0.91494,0.94956,0.54272,0.58071,0.92518,0.42364,0.80905,0.009769,0.009769,0.009769
9,6994.67,0.69535,0.84096,0.4554,0.82081,0.98702,0.96994,0.98839,0.87348,0.96313,0.93734,0.95195,0.52554,0.53665,0.86761,0.37988,0.80556,0.009736,0.009736,0.009736
10,7756.91,0.68727,0.83028,0.44049,0.81985,0.99015,0.97001,0.9891,0.86586,0.95651,0.93115,0.94295,0.50669,0.54604,0.83956,0.37554,0.80474,0.009703,0.009703,0.009703
11,8524.16,0.67967,0.82575,0.4377,0.81693,0.99146,0.96922,0.98864,0.87783,0.96258,0.93235,0.95043,0.5128,0.52747,0.84876,0.36181,0.8021,0.00967,0.00967,0.00967
12,9288.75,0.65672,0.80589,0.42448,0.816,0.98787,0.97455,0.98974,0.88587,0.9678,0.94005,0.96064,0.52869,0.51362,0.84247,0.35135,0.80155,0.009637,0.009637,0.009637
13,10062,0.64911,0.79562,0.41572,0.81547,0.98933,0.97152,0.98924,0.88315,0.9639,0.94508,0.96125,0.52442,0.51111,0.82433,0.34649,0.79879,0.009604,0.009604,0.009604
14,10823.1,0.63241,0.7703,0.40423,0.81338,0.9899,0.97955,0.99057,0.89196,0.96474,0.94708,0.96398,0.5494,0.49235,0.83752,0.3368,0.7963,0.009571,0.009571,0.009571
15,11598.9,0.63064,0.7732,0.40395,0.8131,0.98641,0.97321,0.98941,0.88444,0.96292,0.94539,0.96039,0.54295,0.50645,0.78574,0.35147,0.79723,0.009538,0.009538,0.009538
16,12365.8,0.62223,0.75596,0.39567,0.81269,0.98847,0.97099,0.9894,0.89148,0.9692,0.94423,0.96554,0.55815,0.49616,0.78231,0.33563,0.79725,0.009505,0.009505,0.009505
17,13132.7,0.61573,0.75482,0.39062,0.81179,0.99107,0.97515,0.99214,0.89361,0.96748,0.94199,0.95855,0.53744,0.48994,0.80519,0.32425,0.79687,0.009472,0.009472,0.009472
18,13899.3,0.61126,0.75444,0.38839,0.81123,0.99252,0.97535,0.99073,0.89879,0.96808,0.94628,0.96434,0.56497,0.48614,0.81042,0.32488,0.79538,0.009439,0.009439,0.009439
19,14662.1,0.60269,0.73439,0.38194,0.80842,0.99194,0.9775,0.99126,0.89956,0.96515,0.94627,0.96238,0.56605,0.48151,0.77097,0.31725,0.79457,0.009406,0.009406,0.009406
20,15426.8,0.59727,0.7302,0.37906,0.80832,0.98969,0.97229,0.99087,0.90056,0.96776,0.94354,0.96476,0.57136,0.46812,0.76721,0.31353,0.7927,0.009373,0.009373,0.009373
21,16195,0.5913,0.73801,0.3749,0.80617,0.99145,0.97932,0.99099,0.90306,0.95874,0.9451,0.95194,0.54916,0.46069,0.76074,0.30892,0.79244,0.00934,0.00934,0.00934
